c1	MS.1.7.lemma20.000	MS.1.7.lemma20.001	MS.1.7.lemma20.002	MS.1.7.lemma20.003	MS.1.7.lemma20.004	MS.1.7.lemma20.005	MS.1.7.lemma20.006	MS.1.7.lemma20.007	MS.1.7.lemma20.008	MS.1.7.lemma20.009	MS.1.7.lemma20.010	MS.1.7.lemma20.011	MS.1.7.lemma20.012	MS.1.7.lemma20.013	MS.1.7.lemma20.014	MS.1.7.lemma20.015	MS.1.7.lemma20.016	MS.1.7.lemma20.017	MS.1.7.lemma20.018	MS.1.7.lemma20.019	MS.1.7.lemma20.020	MS.1.7.lemma20.021	MS.1.7.lemma20.022	MS.1.7.lemma20.023	MS.1.7.lemma20.024	MS.1.7.lemma20.025	MS.1.7.lemma20.026	MS.1.7.lemma20.027	MS.1.7.lemma20.028	MS.1.7.lemma20.029	MS.1.7.lemma20.030	MS.1.7.lemma20.031	MS.1.7.lemma20.032	MS.1.7.lemma20.033	MS.1.7.lemma20.034	MS.1.7.lemma20.035	MS.1.7.lemma20.036
MS.1.6.lemma20.010	0.9013722	0.80241525	0.84569377	0.87060255	0.8688713	0.8577592	0.92127	0.9252829	0.8997525	0.88965887	0.92130464	0.8812424	0.8738363	0.81948876	0.8741917	0.8918052	0.8843974	0.8861023	0.85197943	0.8474841	0.9031789	0.8924281	0.83767873	0.9009987	0.90887624	0.8342313	0.8847944	0.892787	0.8734722	0.90363646	0.8439349	0.82604057	0.87581253	0.90915686	0.81091136	0.8542974	0.89942855
MS.1.6.lemma20.011	0.90871763	0.7660419	0.8392589	0.8709979	0.8839528	0.8589311	0.9228097	0.91682416	0.87625766	0.85925376	0.9187137	0.8717799	0.861698	0.8081358	0.8593497	0.9082586	0.8608412	0.8933857	0.8502202	0.8704658	0.9055993	0.8829411	0.84830356	0.8754683	0.89717	0.83552396	0.86690515	0.87792957	0.8723401	0.9191778	0.8414497	0.8575857	0.8655802	0.88484585	0.81261706	0.84847605	0.8838314
MS.1.6.lemma20.012	0.8758396	0.7737665	0.8008697	0.8270847	0.8736219	0.8283411	0.90869665	0.9100227	0.8832618	0.8448987	0.90083194	0.87517583	0.82728726	0.79117626	0.86625797	0.8939804	0.8450823	0.871473	0.8294555	0.8602085	0.8784	0.86898714	0.85796285	0.8781631	0.8989148	0.8723244	0.8530094	0.89476746	0.84920996	0.88968855	0.8264527	0.84676105	0.85341924	0.8584722	0.8300842	0.8607125	0.8539087
MS.1.6.lemma20.013	0.8936197	0.79811984	0.8469858	0.85976356	0.8425016	0.8386752	0.9085567	0.90715814	0.83295625	0.8810573	0.8828892	0.82794917	0.8249835	0.7815176	0.81844604	0.88390166	0.8163913	0.8378409	0.81790686	0.8226568	0.8568277	0.8442149	0.8193138	0.8506898	0.85537523	0.7996059	0.8427769	0.8260994	0.8496646	0.86103815	0.8260181	0.8351601	0.854846	0.8788791	0.792912	0.8438204	0.88731134
MS.1.6.lemma20.014	0.9070935	0.813978	0.8447009	0.85152006	0.86802876	0.8581702	0.90141445	0.8934789	0.8733083	0.8756922	0.9030539	0.8542789	0.8449914	0.8098419	0.84440553	0.8806533	0.85955477	0.88044864	0.81375504	0.85919213	0.8828958	0.8561777	0.81777143	0.8726397	0.87811303	0.8117542	0.86233747	0.8612042	0.86603415	0.8838922	0.8447151	0.8503497	0.862208	0.8948724	0.8108327	0.8515105	0.8861222
MS.1.6.lemma20.015	0.88956	0.80161035	0.8439727	0.8465583	0.84680945	0.84787345	0.8893982	0.90116656	0.8805552	0.8527306	0.8834372	0.8348063	0.83615464	0.78516155	0.821173	0.8860939	0.84125227	0.8503696	0.80361325	0.86029994	0.8934908	0.84933335	0.8081373	0.8697017	0.8716332	0.79992735	0.84762347	0.84027654	0.8519537	0.8755363	0.83155555	0.8400876	0.838882	0.91302055	0.77541685	0.8294456	0.87496775
MS.1.6.lemma20.016	0.8875489	0.77872723	0.8181306	0.83169806	0.815382	0.87765896	0.88772	0.8887728	0.8379353	0.85010076	0.8736893	0.80214655	0.8397142	0.7804748	0.78296155	0.86504513	0.8199152	0.86336464	0.82327175	0.805541	0.8378843	0.8658929	0.8340546	0.87314606	0.8469518	0.7845491	0.80670106	0.79769796	0.877869	0.88373744	0.8435058	0.84357846	0.84215903	0.8620345	0.7715391	0.83149016	0.87863284
MS.1.6.lemma20.017	0.9316742	0.8165565	0.8634702	0.8780415	0.85297483	0.8609349	0.92919886	0.93573594	0.8734008	0.90588665	0.9358659	0.8792112	0.8989966	0.8313754	0.8644054	0.90651417	0.88476735	0.87912947	0.86464393	0.84223187	0.88573116	0.8904983	0.85345966	0.88992774	0.91213846	0.85725886	0.8910913	0.8721392	0.8883935	0.90625286	0.8565756	0.85322624	0.89029753	0.9083354	0.8177145	0.8720593	0.9040096
MS.1.6.lemma20.018	0.90042627	0.82018113	0.81225675	0.8607083	0.79975766	0.868508	0.8925116	0.8849064	0.8410092	0.8785422	0.87549686	0.83348674	0.85110116	0.78953034	0.8164255	0.89351064	0.8369093	0.8807264	0.8689311	0.8676224	0.8609746	0.8734519	0.86362296	0.8744614	0.8573631	0.80517834	0.84790707	0.8175164	0.8778561	0.88069797	0.82786983	0.828608	0.8386973	0.86021626	0.8022832	0.8437512	0.8742275
MS.1.6.lemma20.019	0.90522814	0.8135611	0.84675807	0.9096652	0.84475493	0.82596636	0.8879867	0.8912151	0.85089225	0.8597391	0.90838903	0.8770419	0.88712984	0.819841	0.8587848	0.9045798	0.87407243	0.8904877	0.8888474	0.85567826	0.87717736	0.9000886	0.86511195	0.8673773	0.8983796	0.8343144	0.87029976	0.8640958	0.8686424	0.8712605	0.8352411	0.84965	0.85087466	0.8727371	0.7852584	0.8316289	0.8810335
