c1	KS.8.lemma100.000	KS.8.lemma100.001	KS.8.lemma100.002	KS.8.lemma100.003	KS.8.lemma100.004	KS.8.lemma100.005	KS.8.lemma100.006	KS.8.lemma100.007	KS.8.lemma100.008	KS.8.lemma100.009	KS.8.lemma100.010	KS.8.lemma100.011	KS.8.lemma100.012	KS.8.lemma100.013	KS.8.lemma100.014	KS.8.lemma100.015	KS.8.lemma100.016	KS.8.lemma100.017	KS.8.lemma100.018	KS.8.lemma100.019	KS.8.lemma100.020	KS.8.lemma100.021	KS.8.lemma100.022	KS.8.lemma100.023	KS.8.lemma100.024	KS.8.lemma100.025	KS.8.lemma100.026	KS.8.lemma100.027	KS.8.lemma100.028	KS.8.lemma100.029	KS.8.lemma100.030	KS.8.lemma100.031	KS.8.lemma100.032	KS.8.lemma100.033	KS.8.lemma100.034	KS.8.lemma100.035	KS.8.lemma100.036	KS.8.lemma100.037	KS.8.lemma100.038
MS.1.6.lemma100.023	0.93624896	0.9319595	0.93699324	0.91440815	0.90332776	0.93455565	0.9126125	0.90456843	0.9327421	0.8775156	0.90743047	0.8976538	0.900137	0.9098278	0.9088988	0.8876657	0.86926436	0.9177641	0.8967695	0.906998	0.9264437	0.8965727	0.9123884	0.9227237	0.87242424	0.8838972	0.9351403	0.93668795	0.9436913	0.90220475	0.92032576	0.9099812	0.9537468	0.9339021	0.9235554	0.91743493	0.9008982	0.9171065	0.89551735
MS.1.6.lemma100.024	0.9620171	0.958334	0.9494444	0.9647294	0.9282025	0.9446066	0.95079803	0.9451684	0.9600119	0.92658406	0.92183465	0.9196289	0.92521757	0.9260667	0.95009035	0.931104	0.934331	0.93635327	0.9238595	0.9461711	0.9424471	0.9428209	0.94422054	0.93885106	0.91747177	0.9323466	0.93760824	0.96465963	0.96316683	0.93745875	0.9522077	0.9525237	0.95357454	0.96245766	0.95688325	0.9594116	0.9513787	0.967507	0.93606627
MS.1.6.lemma100.025	0.963515	0.9551741	0.9584268	0.95413196	0.968618	0.96678734	0.93509	0.9285713	0.929696	0.9010612	0.9211117	0.94221956	0.8952062	0.92462355	0.9330176	0.89962816	0.9063191	0.9411677	0.9181759	0.9300359	0.9217808	0.9263147	0.9597848	0.9233987	0.897465	0.92027044	0.9335467	0.9494624	0.96043736	0.9300957	0.93699324	0.93569785	0.93996215	0.9454642	0.9528851	0.9490366	0.940956	0.955043	0.93287116
MS.1.6.lemma100.026	0.9619023	0.9523636	0.9791566	0.9539001	0.92998517	0.9516294	0.9446164	0.929983	0.9352478	0.90928113	0.9106572	0.92955375	0.92467517	0.92737234	0.9415344	0.9091074	0.9213553	0.9421815	0.92345023	0.9232703	0.9220766	0.93897986	0.9532896	0.9300485	0.889979	0.91427726	0.9153555	0.9641297	0.9458247	0.93647724	0.949348	0.94635844	0.9482599	0.95277214	0.9429851	0.94353366	0.93336666	0.9444694	0.9203666
MS.1.6.lemma100.027	0.9323525	0.92441195	0.92899483	0.9721876	0.8914452	0.9159893	0.95620584	0.9513132	0.9111865	0.9478574	0.862453	0.9056617	0.8878919	0.89945143	0.94533664	0.9331761	0.9500148	0.9363729	0.9324355	0.941767	0.913821	0.92544323	0.9255959	0.9134511	0.9245937	0.94008803	0.88891125	0.94170815	0.9478497	0.93426776	0.94433653	0.93576854	0.9256091	0.9544469	0.9339043	0.95447636	0.94715506	0.9578621	0.9461915
MS.1.6.lemma100.028	0.9489564	0.93236244	0.94838	0.9379549	0.9368272	0.9563351	0.9308053	0.9080662	0.9194412	0.8883666	0.87828666	0.9238437	0.8896561	0.9281365	0.9348394	0.9038776	0.9057888	0.9283033	0.8952209	0.9122979	0.92466503	0.91370076	0.94547814	0.932538	0.8981375	0.9278242	0.92825985	0.94253016	0.9435065	0.9190038	0.92293936	0.9346062	0.94607633	0.94267714	0.9509717	0.9459374	0.93508995	0.9449156	0.91254854
MS.1.6.lemma100.029	0.94906837	0.95080024	0.95152336	0.95239294	0.9164501	0.9328976	0.9307596	0.91726846	0.9225382	0.90534335	0.9515182	0.9456163	0.91540754	0.90246004	0.9346018	0.9252693	0.9297194	0.93172616	0.93096405	0.9276163	0.9111321	0.9288435	0.931598	0.9278639	0.8847845	0.91435945	0.90869474	0.9479618	0.9369139	0.9224503	0.9423745	0.94797647	0.9227109	0.9368676	0.9440627	0.9368896	0.9379634	0.93700725	0.9348093
MS.1.6.lemma100.030	0.9572179	0.957149	0.9391953	0.9465602	0.8966571	0.93500924	0.9509806	0.9262675	0.93307215	0.9081956	0.8955517	0.92842263	0.92478347	0.9199548	0.9549831	0.93025535	0.94050646	0.9527057	0.9187184	0.92565316	0.917653	0.93212235	0.9573552	0.9582359	0.89993894	0.9346668	0.90283483	0.96141434	0.9433441	0.94424844	0.95604634	0.9595054	0.94254607	0.95892125	0.9626371	0.96317935	0.94637656	0.93418694	0.9278709
MS.1.6.lemma100.031	0.9500845	0.9450489	0.9284424	0.95292	0.9094908	0.9433765	0.95094585	0.93392015	0.9260997	0.92451215	0.8902579	0.9258658	0.9042381	0.93500507	0.95281273	0.9316585	0.93033653	0.9499125	0.9283762	0.9431471	0.92175925	0.92454255	0.94918704	0.9530164	0.9254413	0.96433324	0.911846	0.9496285	0.95835364	0.9474552	0.9510165	0.94664824	0.948407	0.96432275	0.96090674	0.9722774	0.9504105	0.95575327	0.93202454
MS.1.6.lemma100.032	0.95076793	0.92806506	0.9263992	0.9450378	0.9156236	0.92868406	0.95471257	0.943816	0.9557557	0.92700595	0.8824086	0.88457876	0.89623934	0.90642774	0.93893635	0.9197794	0.91899985	0.9380717	0.9102306	0.94202924	0.9275114	0.944332	0.96398485	0.91911685	0.9084724	0.9464274	0.9056524	0.9546834	0.95087427	0.9443765	0.93845326	0.9499753	0.94233114	0.9584654	0.9502952	0.9709516	0.9528167	0.970393	0.9278144
