c1	KS.8.lemma100.000	KS.8.lemma100.001	KS.8.lemma100.002	KS.8.lemma100.003	KS.8.lemma100.004	KS.8.lemma100.005	KS.8.lemma100.006	KS.8.lemma100.007	KS.8.lemma100.008	KS.8.lemma100.009	KS.8.lemma100.010	KS.8.lemma100.011	KS.8.lemma100.012	KS.8.lemma100.013	KS.8.lemma100.014	KS.8.lemma100.015	KS.8.lemma100.016	KS.8.lemma100.017	KS.8.lemma100.018	KS.8.lemma100.019	KS.8.lemma100.020	KS.8.lemma100.021	KS.8.lemma100.022	KS.8.lemma100.023	KS.8.lemma100.024	KS.8.lemma100.025	KS.8.lemma100.026	KS.8.lemma100.027	KS.8.lemma100.028	KS.8.lemma100.029	KS.8.lemma100.030	KS.8.lemma100.031	KS.8.lemma100.032	KS.8.lemma100.033	KS.8.lemma100.034	KS.8.lemma100.035	KS.8.lemma100.036	KS.8.lemma100.037	KS.8.lemma100.038
MS.1.6.lemma100.031	0.957783	0.9507891	0.94008714	0.9532926	0.90683675	0.9347424	0.95523256	0.94542897	0.9259485	0.9438733	0.9036514	0.9228302	0.9187141	0.9379225	0.9569497	0.9499822	0.9462519	0.95645946	0.93572134	0.94948584	0.9291713	0.9349977	0.9412098	0.9503903	0.93424624	0.97003055	0.9262212	0.9540835	0.96517515	0.9568613	0.95423746	0.9527536	0.95770127	0.9646168	0.96387786	0.9755	0.956808	0.95249474	0.9346971
MS.1.6.lemma100.032	0.9617813	0.9416131	0.9363729	0.9442136	0.90174854	0.9211356	0.9651747	0.9523414	0.9593095	0.94958025	0.89254093	0.8822645	0.91781574	0.91247666	0.9465728	0.9386052	0.9513815	0.9420628	0.9160378	0.9453165	0.9378836	0.9496407	0.95373124	0.9228717	0.9203233	0.9563079	0.9229775	0.9546647	0.959558	0.95429575	0.9477132	0.95909566	0.94239324	0.9513131	0.95627195	0.97167635	0.96189874	0.9713418	0.9231323
MS.1.6.lemma100.033	0.97707725	0.9590225	0.94375455	0.95403796	0.925877	0.9453269	0.9491831	0.94379735	0.9473422	0.9344517	0.91287696	0.9159046	0.93184644	0.9266884	0.9516651	0.9251198	0.9327512	0.9485179	0.9102617	0.9404845	0.94287187	0.948283	0.9632631	0.94581246	0.9068621	0.9498504	0.9404871	0.95394343	0.98040885	0.95886654	0.95554996	0.9588932	0.95698005	0.96188796	0.97215307	0.97908884	0.9660507	0.95120853	0.9275058
MS.1.6.lemma100.034	0.9606152	0.9522092	0.9420115	0.95837146	0.91569203	0.9231472	0.9553794	0.9543485	0.9513011	0.94330406	0.9102024	0.9157585	0.9349847	0.929827	0.9501016	0.9362552	0.93772846	0.9529144	0.94415015	0.95426077	0.9602217	0.95002323	0.9429728	0.95897365	0.92011446	0.9484181	0.94881564	0.96191835	0.95951235	0.9562519	0.9571473	0.9558801	0.95197433	0.96062154	0.96620077	0.9684359	0.949344	0.959647	0.9446286
MS.1.6.lemma100.035	0.9595606	0.94358075	0.9339915	0.94713193	0.8945363	0.91680014	0.95583504	0.9536486	0.9392227	0.9456208	0.8786566	0.8919972	0.91821945	0.9147933	0.94815826	0.9305721	0.95088345	0.93685174	0.92064834	0.9453531	0.9369108	0.9400121	0.9308621	0.9257805	0.9394613	0.9504998	0.9294075	0.9466315	0.95031047	0.94741106	0.9414295	0.95138705	0.94075996	0.94619673	0.96091706	0.9580687	0.95807046	0.96306443	0.9256475
MS.1.6.lemma100.036	0.9420624	0.9490717	0.93985116	0.95050997	0.895906	0.90877986	0.9508463	0.9469834	0.90877444	0.94376725	0.89981633	0.9132133	0.9102566	0.93867385	0.9579833	0.9488098	0.9594771	0.9449235	0.94314575	0.9486888	0.9139472	0.9234744	0.922476	0.93459845	0.94520116	0.9522765	0.9099641	0.9558239	0.94424564	0.95340836	0.95139456	0.9454956	0.94269156	0.9565871	0.9487759	0.95071447	0.94881094	0.9459498	0.9475593
MS.1.6.lemma100.037	0.95878595	0.96777135	0.9451389	0.94948727	0.93022686	0.9360984	0.9276995	0.93658227	0.9144804	0.91629493	0.90564436	0.9335793	0.92879146	0.92666703	0.9459383	0.9063627	0.928985	0.93303365	0.9050809	0.931568	0.9184784	0.9272872	0.94282615	0.9125924	0.89847577	0.90526533	0.9366264	0.95054007	0.9421461	0.9304133	0.9264379	0.93947166	0.9234339	0.9367494	0.94804746	0.9405044	0.95258427	0.9327465	0.9308956
MS.1.6.lemma100.038	0.9437011	0.9339347	0.9327415	0.9468655	0.89384687	0.90009516	0.96038955	0.95033777	0.9240331	0.9571847	0.8874654	0.89005136	0.908472	0.93746436	0.96000457	0.9498603	0.9520021	0.93083954	0.93431115	0.9431162	0.9227231	0.9378436	0.9146387	0.9295788	0.9528255	0.9531963	0.9108106	0.9473022	0.9497868	0.9496207	0.9472391	0.9461426	0.9475804	0.9542338	0.9457763	0.95301497	0.9443067	0.9457249	0.9352928
MS.1.6.lemma100.039	0.96401674	0.95413613	0.9498053	0.96400315	0.9055713	0.92220217	0.9669575	0.9715661	0.9497859	0.97056043	0.90063715	0.9166599	0.93782556	0.93561196	0.9625061	0.9395143	0.95546615	0.94676214	0.9486023	0.96522427	0.9373927	0.9655442	0.9335228	0.9555066	0.9397133	0.947953	0.93462205	0.9654303	0.9655029	0.96691364	0.96400094	0.9654956	0.9605156	0.97268116	0.957555	0.9607175	0.9632465	0.95358664	0.95260525
MS.1.6.lemma100.040	0.953114	0.9563038	0.94596064	0.9584888	0.90466	0.9232559	0.96016574	0.955979	0.9252238	0.9474915	0.90378237	0.9174272	0.9226319	0.94568956	0.97849494	0.960655	0.96393514	0.955988	0.9450904	0.95332724	0.9313562	0.93696237	0.9316867	0.9465299	0.9469117	0.9595399	0.92399913	0.95632434	0.95061976	0.9505123	0.9475758	0.9591257	0.960426	0.9644578	0.95838296	0.9675619	0.9567404	0.95224273	0.94965416
MS.1.6.lemma100.041	0.94281137	0.95688856	0.94244766	0.9577339	0.9054679	0.9227884	0.94883037	0.9534933	0.91963726	0.9491825	0.9021097	0.9205373	0.9129175	0.9378848	0.9806841	0.9525643	0.96218556	0.94897395	0.9352079	0.95190465	0.923582	0.9324211	0.932831	0.943177	0.9473402	0.9503994	0.9196194	0.95054173	0.9497876	0.94890124	0.94521356	0.953097	0.9448016	0.96013504	0.94673544	0.9590726	0.9552057	0.95344603	0.9527967
MS.1.6.lemma100.042	0.95376927	0.97262615	0.95600384	0.9771533	0.93758917	0.9486922	0.95556366	0.95552874	0.92314124	0.93601644	0.9317449	0.9491708	0.92821324	0.95452726	0.9816278	0.9450057	0.96508896	0.95513725	0.93384564	0.9567636	0.9213318	0.94384485	0.9586208	0.954692	0.9201984	0.937076	0.9196344	0.95911175	0.9468985	0.95063144	0.95055175	0.95846295	0.95025384	0.9647604	0.9411483	0.9629212	0.9689514	0.9498426	0.9536328
