c1	KS.8.lemma100.000	KS.8.lemma100.001	KS.8.lemma100.002	KS.8.lemma100.003	KS.8.lemma100.004	KS.8.lemma100.005	KS.8.lemma100.006	KS.8.lemma100.007	KS.8.lemma100.008	KS.8.lemma100.009	KS.8.lemma100.010	KS.8.lemma100.011	KS.8.lemma100.012	KS.8.lemma100.013	KS.8.lemma100.014	KS.8.lemma100.015	KS.8.lemma100.016	KS.8.lemma100.017	KS.8.lemma100.018	KS.8.lemma100.019	KS.8.lemma100.020	KS.8.lemma100.021	KS.8.lemma100.022	KS.8.lemma100.023	KS.8.lemma100.024	KS.8.lemma100.025	KS.8.lemma100.026	KS.8.lemma100.027	KS.8.lemma100.028	KS.8.lemma100.029	KS.8.lemma100.030	KS.8.lemma100.031	KS.8.lemma100.032	KS.8.lemma100.033	KS.8.lemma100.034	KS.8.lemma100.035	KS.8.lemma100.036	KS.8.lemma100.037	KS.8.lemma100.038
MS.1.6.lemma100.026	0.9819334	0.98370415	0.9896919	0.9825917	0.9699163	0.9821405	0.98063993	0.97481346	0.9766104	0.96358836	0.96816415	0.9784683	0.9594412	0.95817256	0.9787862	0.966313	0.95568216	0.9791842	0.96979517	0.97589844	0.979826	0.96686697	0.9845917	0.9736958	0.9518608	0.97806334	0.98081535	0.9779837	0.9752443	0.96952534	0.97693765	0.97736895	0.9695136	0.9760077	0.9797026	0.9819885	0.9796665	0.97462523	0.96695256
MS.1.6.lemma100.027	0.9862274	0.9830248	0.9807281	0.9873085	0.9472934	0.96355903	0.97727966	0.9849694	0.9839121	0.97964466	0.96081185	0.9679502	0.9655407	0.95410204	0.9799237	0.97091854	0.9510749	0.9804737	0.9758707	0.98036134	0.9754254	0.98086405	0.98300344	0.98355937	0.9645519	0.98173463	0.9775388	0.9806273	0.98025835	0.9786078	0.98239094	0.9821837	0.9763906	0.9784782	0.98445565	0.9849745	0.97854507	0.9773926	0.9756081
MS.1.6.lemma100.028	0.985037	0.9811685	0.98576343	0.9792882	0.95952904	0.97509825	0.9797055	0.97794706	0.97925615	0.96704245	0.96165407	0.9747712	0.9566839	0.9586922	0.9810977	0.97377783	0.95464706	0.9808703	0.9730145	0.9798099	0.9817069	0.97668785	0.9862157	0.9764676	0.962466	0.97842085	0.978367	0.98239326	0.97860104	0.97432935	0.97887796	0.9822914	0.9792204	0.9782924	0.9836989	0.98191446	0.9800455	0.97309947	0.9676178
MS.1.6.lemma100.029	0.9785651	0.98720163	0.9765957	0.9853876	0.9642395	0.9751105	0.97617465	0.97489244	0.9721394	0.9661489	0.9618643	0.9784401	0.9614541	0.9456223	0.97082067	0.96773875	0.9543752	0.97609645	0.9677252	0.9724665	0.97718	0.96365243	0.9774148	0.97328997	0.954023	0.97507775	0.98029864	0.9724553	0.96979463	0.96231556	0.9704107	0.9750731	0.9644712	0.97734344	0.9751065	0.98257613	0.9847081	0.9714184	0.9713735
MS.1.6.lemma100.030	0.9825666	0.9779221	0.97513777	0.97530717	0.93064696	0.9489398	0.9696853	0.97468805	0.98253477	0.9614502	0.94381547	0.95339	0.96666145	0.9430382	0.96922374	0.96016055	0.93202835	0.97441906	0.9695175	0.97509867	0.97184455	0.98029083	0.9770329	0.98883754	0.96019167	0.9769941	0.97664255	0.9852391	0.9861369	0.9739909	0.97958773	0.9843513	0.97975093	0.98238415	0.9854169	0.97804	0.97356904	0.96871114	0.9758559
MS.1.6.lemma100.031	0.9873866	0.98114246	0.9790524	0.9802456	0.9384736	0.95870036	0.97545916	0.9813784	0.98589474	0.97194934	0.9477353	0.9618619	0.96795577	0.9467762	0.97463524	0.9690919	0.94234145	0.9809803	0.97442913	0.98231745	0.97737455	0.9800529	0.98361915	0.9875855	0.9621574	0.98228866	0.9787945	0.9872024	0.9861742	0.978636	0.9839041	0.98561394	0.98292637	0.9876696	0.9892024	0.98507416	0.98143756	0.974107	0.97371316
MS.1.6.lemma100.032	0.9846048	0.9793696	0.97494084	0.9839554	0.94336385	0.95938736	0.9779714	0.9818878	0.9808753	0.977756	0.9521536	0.95882106	0.96650547	0.9417104	0.9688108	0.9702714	0.9523016	0.97881645	0.9754421	0.9831675	0.9782276	0.97301674	0.9808751	0.9800199	0.9570143	0.98579746	0.982387	0.9804253	0.9810947	0.97691935	0.9805576	0.9812051	0.9755115	0.9830172	0.98295844	0.9863581	0.983387	0.9867026	0.96839064
MS.1.6.lemma100.033	0.9872539	0.9856329	0.97840995	0.9858024	0.9415031	0.96011937	0.9757576	0.9796548	0.9815335	0.9712728	0.9477981	0.96348125	0.9618296	0.9407457	0.9714146	0.9648915	0.938509	0.9790859	0.97197044	0.9838578	0.98145676	0.9777152	0.98198336	0.98581135	0.95825505	0.9823632	0.9846211	0.98415387	0.9857863	0.97874415	0.98255384	0.99048364	0.9766679	0.98197526	0.9854829	0.9861167	0.98161244	0.9773029	0.9780532
MS.1.6.lemma100.034	0.98620343	0.98303455	0.97448945	0.9829483	0.93819344	0.9545029	0.9727643	0.9777354	0.9869002	0.96792984	0.9447733	0.95709574	0.96939933	0.94272417	0.96945155	0.9622841	0.9306195	0.9774035	0.9706518	0.9782729	0.97730505	0.9751537	0.9807478	0.99067277	0.9591044	0.9815676	0.9825076	0.98437655	0.9842304	0.972369	0.97826195	0.98626393	0.98041224	0.9835297	0.9858123	0.98572683	0.9766772	0.97488207	0.9762987
MS.1.6.lemma100.035	0.98279077	0.97603786	0.97075653	0.97712433	0.9238863	0.943367	0.9645125	0.97311914	0.97960687	0.9683845	0.9402867	0.9481452	0.96313345	0.93599194	0.9673269	0.95470333	0.9207343	0.97038317	0.9699187	0.97689056	0.97215503	0.97628844	0.97518337	0.98560125	0.95665735	0.9729911	0.9747126	0.9827057	0.9822943	0.9740902	0.97583044	0.9833096	0.97809577	0.97284126	0.9805108	0.97617805	0.97056067	0.9691793	0.9720943
MS.1.6.lemma100.036	0.98509973	0.9866506	0.9744282	0.9828001	0.9427527	0.95449555	0.971703	0.9792552	0.98221654	0.9705734	0.94944793	0.9591903	0.9650759	0.9459322	0.9705981	0.9696717	0.94705164	0.983356	0.9705577	0.97448695	0.9759411	0.97792107	0.97770214	0.9833898	0.96726865	0.98070836	0.9754305	0.98644435	0.98441195	0.97842693	0.9806927	0.98156875	0.97619385	0.9835206	0.9808712	0.98298323	0.9797832	0.97043836	0.980522
MS.1.6.lemma100.037	0.9652215	0.9719	0.9622568	0.96466184	0.9607482	0.9621897	0.96319544	0.96350205	0.9640726	0.9613776	0.9690368	0.95955735	0.9540951	0.9541918	0.9662634	0.9661534	0.95513314	0.9673228	0.9615331	0.9559973	0.9599183	0.95791733	0.9637853	0.9563396	0.9528815	0.96402335	0.9653688	0.96287084	0.96245646	0.95425415	0.96203434	0.9551206	0.95351696	0.960206	0.96231073	0.9672936	0.9657556	0.9645201	0.9622519
MS.1.6.lemma100.038	0.9767002	0.97505087	0.966316	0.97870016	0.92700803	0.94228363	0.9667803	0.9795869	0.97651875	0.97444427	0.93473303	0.947026	0.9680215	0.9360776	0.9664031	0.9587769	0.92896616	0.9715768	0.9679086	0.9698715	0.9707455	0.97783214	0.9697119	0.98552465	0.9655347	0.97605604	0.971781	0.9783603	0.97959924	0.97340554	0.9743765	0.97878844	0.97353303	0.97865057	0.9753156	0.9775937	0.97525644	0.9724083	0.9702635
MS.1.6.lemma100.039	0.9853547	0.9789163	0.97300726	0.98063976	0.9322026	0.9485463	0.971687	0.9799244	0.98334104	0.9764683	0.939636	0.9523254	0.9692373	0.93516225	0.96749985	0.959825	0.93215644	0.97494304	0.9762873	0.98082566	0.97687054	0.9790093	0.97659487	0.98879856	0.96110433	0.9808724	0.97955596	0.9817399	0.98317754	0.9720596	0.97623026	0.98241967	0.9787	0.98303854	0.9836387	0.98222506	0.9759847	0.97636235	0.9727556
MS.1.6.lemma100.040	0.97261935	0.97899055	0.9676583	0.97452015	0.9423987	0.95539796	0.96398675	0.97540253	0.96992844	0.97109914	0.94788057	0.9623921	0.9554212	0.94697905	0.97961247	0.95991486	0.9421219	0.97191	0.968171	0.9630102	0.9681464	0.9727318	0.9707568	0.97577095	0.9618897	0.96669084	0.9654377	0.97419375	0.97299063	0.9704581	0.9726715	0.97294474	0.9656569	0.97163343	0.9707301	0.97474074	0.9746816	0.96543264	0.97237694
MS.1.6.lemma100.041	0.9747754	0.9789752	0.9701359	0.9733298	0.9477848	0.9590595	0.96851087	0.97628367	0.9752924	0.9717585	0.95287097	0.9657388	0.95618045	0.9527737	0.98165786	0.96601754	0.9531254	0.97641575	0.96896446	0.9646987	0.97136647	0.97325677	0.9783742	0.97294176	0.9678241	0.9738604	0.96572405	0.9776629	0.9756987	0.9750664	0.976105	0.97423875	0.9720894	0.97778	0.9714085	0.97624886	0.97756493	0.968394	0.9782596
MS.1.6.lemma100.042	0.9770012	0.98239714	0.97843564	0.97610784	0.9704227	0.98004353	0.9665236	0.96800166	0.96358883	0.95906556	0.96553487	0.9789281	0.9446738	0.9550805	0.9848658	0.9609053	0.95352757	0.97172225	0.95545423	0.96168	0.9654607	0.9558768	0.98062944	0.95958376	0.94359404	0.96354824	0.9672078	0.96718025	0.9617088	0.96095914	0.968977	0.97001445	0.95705265	0.9620092	0.9697585	0.9746249	0.9768816	0.96151924	0.96402836
