c1	MS.1.7.lemma20.000	MS.1.7.lemma20.001	MS.1.7.lemma20.002	MS.1.7.lemma20.003	MS.1.7.lemma20.004	MS.1.7.lemma20.005	MS.1.7.lemma20.006	MS.1.7.lemma20.007	MS.1.7.lemma20.008	MS.1.7.lemma20.009	MS.1.7.lemma20.010	MS.1.7.lemma20.011	MS.1.7.lemma20.012	MS.1.7.lemma20.013	MS.1.7.lemma20.014	MS.1.7.lemma20.015	MS.1.7.lemma20.016	MS.1.7.lemma20.017	MS.1.7.lemma20.018	MS.1.7.lemma20.019	MS.1.7.lemma20.020	MS.1.7.lemma20.021	MS.1.7.lemma20.022	MS.1.7.lemma20.023	MS.1.7.lemma20.024	MS.1.7.lemma20.025	MS.1.7.lemma20.026	MS.1.7.lemma20.027	MS.1.7.lemma20.028	MS.1.7.lemma20.029	MS.1.7.lemma20.030	MS.1.7.lemma20.031	MS.1.7.lemma20.032	MS.1.7.lemma20.033	MS.1.7.lemma20.034	MS.1.7.lemma20.035	MS.1.7.lemma20.036
MS.1.1.lemma20.042	0.78113693	0.80776644	0.8145308	0.7874486	0.80642915	0.8031246	0.82169974	0.8357481	0.8263005	0.78432965	0.7837497	0.8011044	0.8211742	0.82720053	0.8252684	0.82639813	0.8093996	0.8386551	0.8131474	0.8142185	0.79152256	0.79008955	0.78643423	0.8137053	0.80934566	0.83062327	0.8106378	0.8243731	0.8140302	0.7887795	0.80250174	0.7846744	0.78812814	0.80566067	0.79231167	0.81879956	0.7939677
MS.1.1.lemma20.043	0.9290247	0.9010712	0.81255025	0.9389331	0.92846215	0.94813985	0.88574976	0.90911865	0.9448274	0.91551447	0.89758617	0.94074285	0.92929864	0.9176766	0.94815856	0.9223894	0.94641936	0.8939887	0.9292327	0.9530297	0.9468186	0.93941283	0.9317678	0.93817604	0.9171065	0.9213687	0.9362358	0.8745741	0.9181203	0.9323619	0.9383553	0.94380444	0.94314814	0.93020505	0.9024011	0.9357582	0.90702516
MS.1.1.lemma20.044	0.9295207	0.9049063	0.8358878	0.9404003	0.9353101	0.94055337	0.8709582	0.901631	0.9159497	0.91607827	0.90504456	0.9435211	0.9363283	0.9100098	0.9263521	0.91906404	0.948042	0.883609	0.92508966	0.9412461	0.9390166	0.9240327	0.9184952	0.9507654	0.92818606	0.92457825	0.92773205	0.900406	0.8958677	0.9481149	0.9449171	0.9213948	0.9444296	0.9390195	0.891195	0.92870784	0.9220588
MS.1.1.lemma20.045	0.94814813	0.891727	0.80174476	0.9591918	0.94286	0.96862566	0.85916764	0.89460146	0.92263806	0.933721	0.895654	0.95769614	0.94119847	0.91196615	0.9406571	0.9384145	0.9605346	0.8708655	0.93238974	0.9651109	0.9619363	0.9441579	0.9345097	0.9628403	0.9334992	0.9235975	0.9462967	0.8733499	0.90700036	0.9545785	0.95492464	0.93729424	0.9576564	0.9457392	0.910743	0.94496816	0.92005956
MS.1.1.lemma20.046	0.90473276	0.8662831	0.840757	0.88762754	0.89449596	0.91830796	0.8945314	0.8870847	0.9122931	0.8945157	0.84765124	0.90139663	0.8645549	0.86990064	0.9009992	0.8831091	0.8926152	0.87324154	0.8935078	0.9230676	0.90217614	0.8918246	0.8730986	0.9095519	0.8879819	0.88092804	0.89682394	0.86032397	0.8611995	0.89794564	0.88047504	0.8805768	0.909027	0.8890976	0.87134963	0.9082884	0.86529106
MS.1.1.lemma20.047	0.9363955	0.9137441	0.8200889	0.934937	0.93716484	0.9505741	0.8795662	0.88647544	0.94573075	0.92674655	0.8992461	0.945032	0.9385163	0.9260084	0.9453725	0.9131723	0.9481336	0.90095544	0.936807	0.96109766	0.94831896	0.94314635	0.93867767	0.9472364	0.9350407	0.9212558	0.9505988	0.87952924	0.90833306	0.936255	0.94384503	0.93787783	0.95767576	0.9274123	0.9203652	0.93413067	0.91392165
MS.1.1.lemma20.048	0.9376411	0.9041965	0.80817676	0.9404515	0.9367917	0.95859	0.86223805	0.87547946	0.932264	0.92864656	0.89997697	0.94575715	0.9387505	0.9046806	0.9271944	0.9162936	0.9442718	0.85793686	0.9251676	0.95786375	0.94243556	0.9246346	0.9269697	0.9575213	0.9149053	0.90689945	0.93655205	0.87123686	0.88111746	0.9447764	0.9449594	0.91711193	0.9530668	0.9366074	0.92388034	0.94189644	0.92184603
MS.1.1.lemma20.049	0.9282072	0.91818327	0.83864313	0.9405848	0.9278554	0.95677245	0.8823335	0.91245675	0.9245534	0.9193057	0.89197075	0.94479585	0.932595	0.91224754	0.9272518	0.9331951	0.9472755	0.88820976	0.9293035	0.9581674	0.9497489	0.9376543	0.9331603	0.9545387	0.9327375	0.926911	0.93259233	0.8715641	0.9194729	0.9428464	0.954487	0.9319482	0.9511072	0.93711305	0.9030746	0.9440227	0.9134749
MS.1.1.lemma20.050	0.9405068	0.8990279	0.8440095	0.9317993	0.93257654	0.9489459	0.8809124	0.89024556	0.89951855	0.92420757	0.88824636	0.9424126	0.92171305	0.90510666	0.9275863	0.90621805	0.93255156	0.87329674	0.926278	0.94271225	0.9330785	0.93128145	0.9120682	0.94717556	0.91761446	0.91759694	0.9307208	0.8789871	0.88456774	0.9383099	0.9360853	0.90572596	0.94414955	0.930746	0.90019095	0.9350549	0.9004088
MS.1.1.lemma20.051	0.9408277	0.90975153	0.84259737	0.93723893	0.9420907	0.94658166	0.8654231	0.8811853	0.9222994	0.9287002	0.90119225	0.9522167	0.9389032	0.9213897	0.94220215	0.9289148	0.95336664	0.8742405	0.9390577	0.9439657	0.94223666	0.9298295	0.93093836	0.95758957	0.917804	0.9199245	0.945858	0.8812083	0.8869673	0.9447901	0.9451799	0.91355264	0.9488174	0.93754584	0.9079661	0.9280523	0.9241919
MS.1.1.lemma20.052	0.8973714	0.8766829	0.8228202	0.90674114	0.90691745	0.921511	0.8840947	0.91888106	0.8979939	0.90936315	0.8869381	0.9169546	0.9115169	0.89519656	0.9150779	0.9201808	0.9191404	0.859367	0.89611673	0.91426826	0.91378886	0.88589084	0.89635307	0.9145292	0.892362	0.90296227	0.90967584	0.8615458	0.9089631	0.91316473	0.9229322	0.9070355	0.9035545	0.92071795	0.8601824	0.9157769	0.8923091
MS.1.1.lemma20.053	0.94733787	0.911423	0.81329685	0.9561274	0.9388392	0.965075	0.86019236	0.89125884	0.92474854	0.9252542	0.90191454	0.9530893	0.94605523	0.9106331	0.9349889	0.9349317	0.94983745	0.8477435	0.9360579	0.952469	0.9561045	0.9460056	0.93731046	0.9589969	0.92729115	0.9277979	0.9456477	0.8671411	0.9017315	0.9601871	0.95570046	0.92861986	0.9547819	0.9493439	0.9113044	0.9516871	0.92752457
MS.1.1.lemma20.054	0.8363922	0.8589005	0.81505394	0.8259406	0.8329891	0.8553251	0.8406672	0.8348136	0.8303722	0.8060425	0.8142997	0.83988035	0.8285332	0.82761514	0.82927823	0.8343321	0.81769556	0.8287195	0.8302319	0.8434559	0.8230365	0.8262627	0.82055056	0.8356234	0.8437396	0.8267872	0.81509876	0.812457	0.8207803	0.8545542	0.8312844	0.80915534	0.85119015	0.86077434	0.8360677	0.88090014	0.84592605
